iter	Passed	Remaining
0	1	104
1	1	93
2	2	88
3	3	82
4	4	81
5	5	80
6	5	78
7	6	76
8	7	75
9	8	74
10	9	73
11	9	72
12	11	77
13	12	78
14	13	77
15	14	77
16	15	75
17	16	75
18	17	73
19	18	72
20	18	70
21	19	69
22	20	68
23	21	67
24	21	65
25	22	64
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	30	49
38	31	48
39	31	47
40	32	46
41	32	45
42	33	44
43	33	43
44	34	42
45	35	41
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	34
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	56	12
82	57	11
83	57	11
84	58	10
85	59	9
86	59	8
87	60	8
88	60	7
89	61	6
90	61	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	66	0
